Collocations analysis for "Manuskrypt Wojnicza" by Unknown

 occurs in 190 collocations
RTO2 occurs in 1 collocations
ESCCHAE occurs in 1 collocations
GHCO occurs in 3 collocations
TDZCAE occurs in 1 collocations
(O|A)DO occurs in 1 collocations
4ODC28G occurs in 1 collocations
8ORTG occurs in 2 collocations
HZOE2 occurs in 2 collocations
O8(O|A)R occurs in 1 collocations
8ANE occurs in 1 collocations
FZ2 occurs in 1 collocations
HTCO8AM occurs in 1 collocations
O8CCCO8E occurs in 1 collocations
4OHCCCO occurs in 1 collocations
|)(|G occurs in 2 collocations
O8AEG occurs in 1 collocations
)TO8G occurs in 1 collocations
O(E|8)G occurs in 1 collocations
GDCOE2 occurs in 1 collocations
4ODCORG occurs in 1 collocations
OEHTG occurs in 2 collocations
4OCD occurs in 2 collocations
GDCTO occurs in 1 collocations
)8 occurs in 1 collocations
|)TG occurs in 1 collocations
TPOR occurs in 2 collocations
T(|C)DZG occurs in 1 collocations
4OHCC(|C)8G occurs in 1 collocations
8SCC8G occurs in 4 collocations
EOM occurs in 2 collocations
TOR(_| occurs in 1 collocations
ODOCO2 occurs in 1 collocations
4OHCC88G occurs in 1 collocations
DZCCCG occurs in 1 collocations
TDZAK occurs in 1 collocations
8EAR occurs in 2 collocations
DSCO8AE occurs in 1 collocations
OHC8G( occurs in 2 collocations
OHGOE occurs in 1 collocations
TOE8AE occurs in 1 collocations
OETCDZG occurs in 1 collocations
|)A(R|2) occurs in 1 collocations
4HZCC8 occurs in 1 collocations
THC8G occurs in 3 collocations
)A(M|N) occurs in 3 collocations
D00 occurs in 2 collocations
|)OET8G occurs in 1 collocations
2ARAIIR occurs in 1 collocations
TR occurs in 5 collocations
HZOR occurs in 38 collocations
DTC occurs in 1 collocations
SOFZG occurs in 3 collocations
TCHG occurs in 20 collocations
8ORG occurs in 2 collocations
GD(O|A)EAR occurs in 1 collocations
TCDA(M|N) occurs in 3 collocations
8ARAM occurs in 4 collocations
8EAM occurs in 1 collocations
FSOR occurs in 1 collocations
8ORAE occurs in 1 collocations
SCDTCG occurs in 1 collocations
HTC8AI(|R) occurs in 1 collocations
SORG occurs in 7 collocations
8OETE occurs in 1 collocations
OHOEOE occurs in 1 collocations
OF(A|T)R occurs in 1 collocations
GDAMK occurs in 1 collocations
ODAIE8G occurs in 1 collocations
HT8AR occurs in 1 collocations
TC8GAR occurs in 1 collocations
OARAM occurs in 1 collocations
HZ8G occurs in 6 collocations
OCOAR occurs in 1 collocations
OETAR0FN occurs in 1 collocations
T8AIRO8 occurs in 1 collocations
TOD occurs in 4 collocations
GTCHZG occurs in 1 collocations
TDZOE occurs in 3 collocations
2OTCG occurs in 1 collocations
AIE8G occurs in 1 collocations
OPAM occurs in 7 collocations
4OTC8AM occurs in 1 collocations
4DAM occurs in 3 collocations
HTC8|)O(R occurs in 1 collocations
8AR8 occurs in 1 collocations
8TIR occurs in 1 collocations
OSHZO occurs in 1 collocations
OEA(M|N) occurs in 1 collocations
4ODCCM occurs in 2 collocations
000 occurs in 2 collocations
HCG occurs in 12 collocations
RTR occurs in 2 collocations
DCO8AK occurs in 1 collocations
4ODTO2 occurs in 1 collocations
PORARTG occurs in 1 collocations
T8(|I)G occurs in 1 collocations
TCOK occurs in 8 collocations
PSCOE8G occurs in 1 collocations
GHTG occurs in 17 collocations
FZO8AR occurs in 1 collocations
SC2 occurs in 5 collocations
4AEOM occurs in 1 collocations
ODTCCK occurs in 1 collocations
TPZOE occurs in 1 collocations
4OHTO8G occurs in 4 collocations
4DZCAR occurs in 1 collocations
TCTCG occurs in 2 collocations
ORTE occurs in 1 collocations
OEANR occurs in 1 collocations
SC(| occurs in 1 collocations
OPTCAR occurs in 3 collocations
HC8A(M|N) occurs in 1 collocations
RAIR occurs in 4 collocations
(D|H)ORARG occurs in 1 collocations
OETC8AM occurs in 1 collocations
HOCC2 occurs in 1 collocations
TDTG occurs in 5 collocations
8SCCO2 occurs in 1 collocations
RAROSG occurs in 1 collocations
)OHAR occurs in 1 collocations
0DCG occurs in 1 collocations
TGHCCG occurs in 1 collocations
OHAEOR occurs in 4 collocations
SC occurs in 24 collocations
OHOG occurs in 1 collocations
DC8G8G occurs in 1 collocations
4ODC(T|CC)G occurs in 1 collocations
THE occurs in 2 collocations
EOEOK occurs in 1 collocations
GDOEG occurs in 1 collocations
8T8AE occurs in 1 collocations
T(C|O)HZC8G occurs in 1 collocations
OHZ8G occurs in 2 collocations
(R occurs in 1 collocations
4OH occurs in 8 collocations
EOR occurs in 26 collocations
ODCC8AE occurs in 2 collocations
8AEAE occurs in 5 collocations
TCCHTOE occurs in 1 collocations
TC8CG occurs in 1 collocations
EEOR occurs in 1 collocations
PTO8G occurs in 5 collocations
E2AR occurs in 2 collocations
2TCHG occurs in 1 collocations
4OFZCG occurs in 1 collocations
4(C|O)DAM occurs in 1 collocations
DTOG occurs in 2 collocations
ETCAEA(|I)K occurs in 1 collocations
2DAIIO8AR occurs in 1 collocations
SORO occurs in 1 collocations
8ARA8G occurs in 1 collocations
2AIROK occurs in 1 collocations
PT2O8AR occurs in 1 collocations
G8AR occurs in 4 collocations
8AN8AE occurs in 1 collocations
4ODCCC2 occurs in 1 collocations
8AIROK occurs in 1 collocations
2AE2 occurs in 2 collocations
GSCO8G occurs in 2 collocations
SOFOE occurs in 1 collocations
HOE occurs in 47 collocations
GTCC8AM occurs in 1 collocations
EDCTG occurs in 3 collocations
AMDG occurs in 1 collocations
G8TC8G occurs in 1 collocations
TDZ8AR occurs in 1 collocations
80RN occurs in 1 collocations
4OC(I|C)8AM occurs in 1 collocations
ODOE8G occurs in 6 collocations
)TODOR occurs in 1 collocations
4CPTC8G occurs in 1 collocations
HCC8ARAK occurs in 1 collocations
0TC8G occurs in 3 collocations
OHC8AM occurs in 4 collocations
AET8 occurs in 1 collocations
EAM occurs in 16 collocations
SC8A(I|)R occurs in 1 collocations
2OG occurs in 3 collocations
HZOEHZG occurs in 1 collocations
EOHOR occurs in 1 collocations
PTC8T8G occurs in 1 collocations
OHCCAR occurs in 1 collocations
ODTC8G occurs in 17 collocations
AFZG occurs in 2 collocations
PZOTG occurs in 1 collocations
4O8ORG occurs in 1 collocations
OHA(N|M) occurs in 1 collocations
HOEDSCG occurs in 1 collocations
8HZG occurs in 1 collocations
TGHG occurs in 5 collocations
THOM occurs in 1 collocations
OETDZG occurs in 1 collocations
4OIRAE occurs in 1 collocations
SCOC occurs in 1 collocations
CAEAK occurs in 1 collocations
AN2ODZG occurs in 1 collocations
OEDAM occurs in 46 collocations
OEODG occurs in 2 collocations
T(O|A)R occurs in 1 collocations
0GFTG occurs in 1 collocations
ODCCO2TCCO2 occurs in 1 collocations
4OCCC2 occurs in 3 collocations
TC8AIR occurs in 1 collocations
2O2 occurs in 6 collocations
AHO2 occurs in 1 collocations
OE8AIK occurs in 1 collocations
|)G(| occurs in 1 collocations
OHTC2 occurs in 2 collocations
8ODC8G occurs in 1 collocations
TCDCCD occurs in 1 collocations
ETCCOR occurs in 1 collocations
SCCHG occurs in 6 collocations
TC8AM occurs in 41 collocations
TG occurs in 100 collocations
GPTCG occurs in 2 collocations
TODTCO occurs in 1 collocations
GHA2AE occurs in 1 collocations
HOE8G occurs in 2 collocations
OPAK occurs in 2 collocations
Y occurs in 3 collocations
OHOHAG occurs in 1 collocations
ODAEG occurs in 10 collocations
000000O occurs in 1 collocations
TCPT(Y|0) occurs in 1 collocations
ORAEAR occurs in 1 collocations
4 occurs in 1 collocations
ORDAR occurs in 1 collocations
4OCCG occurs in 15 collocations
GHCCCOR occurs in 1 collocations
ESC2 occurs in 1 collocations
2TCO occurs in 2 collocations
TCPG occurs in 5 collocations
HG4ODG occurs in 1 collocations
GTCCDZ(|G) occurs in 1 collocations
4OHT2 occurs in 1 collocations
ORAIR occurs in 8 collocations
00 occurs in 6 collocations
HZORG occurs in 2 collocations
DZOR occurs in 12 collocations
OPTCO8AE occurs in 1 collocations
OHTE occurs in 1 collocations
4ON occurs in 1 collocations
4OPT8G occurs in 17 collocations
SDZOR occurs in 2 collocations
8ARORG occurs in 1 collocations
ORG occurs in 17 collocations
8ARORAK occurs in 1 collocations
2OETC8G occurs in 2 collocations
4OHZC2 occurs in 1 collocations
OAIRAR occurs in 1 collocations
OEHAK occurs in 1 collocations
80S occurs in 1 collocations
O)ECCOE occurs in 1 collocations
ODA(|I)M occurs in 2 collocations
PTCO2 occurs in 2 collocations
HSC8AM occurs in 1 collocations
O8OE occurs in 2 collocations
SADZG occurs in 2 collocations
TODA(M|N) occurs in 5 collocations
SCCO8CC2 occurs in 1 collocations
T2DG occurs in 2 collocations
|)DAR occurs in 3 collocations
4O8TC8 occurs in 1 collocations
SOTG occurs in 1 collocations
4OD(O|A)E occurs in 2 collocations
OPAITG occurs in 1 collocations
TCAEG occurs in 4 collocations
OAORAR occurs in 1 collocations
SC(C|)8G occurs in 1 collocations
0A2OR occurs in 1 collocations
GDARG8 occurs in 1 collocations
ETOR occurs in 6 collocations
AESCC2 occurs in 1 collocations
OE8A4 occurs in 1 collocations
PAR8G occurs in 1 collocations
TFAM occurs in 1 collocations
GDC8OR occurs in 1 collocations
TOEHAR occurs in 1 collocations
OPT occurs in 2 collocations
ETE occurs in 2 collocations
PORSCG occurs in 1 collocations
OTC2 occurs in 1 collocations
4CCCG occurs in 3 collocations
4ODAETCG occurs in 1 collocations
ODC8AM occurs in 5 collocations
4OLTC8G occurs in 1 collocations
ODS occurs in 1 collocations
GDCCO8AK occurs in 1 collocations
PT(A occurs in 1 collocations
|)4ODC(G occurs in 1 collocations
GDCCSC8G occurs in 1 collocations
TDAEG occurs in 2 collocations
TCTG occurs in 1 collocations
AEAE8G occurs in 1 collocations
ODC8A occurs in 1 collocations
ETA(R|E) occurs in 1 collocations
)O8AM occurs in 1 collocations
4ODAR8G occurs in 1 collocations
4O(D occurs in 1 collocations
ODCAK occurs in 2 collocations
TO8AK occurs in 1 collocations
8SCC8AE occurs in 1 collocations
4OHOM occurs in 2 collocations
TAE2 occurs in 2 collocations
EOETOR occurs in 1 collocations
4ODCC8AM occurs in 2 collocations
TORAEG occurs in 1 collocations
SOHCG occurs in 1 collocations
OECCCG occurs in 3 collocations
ORA(N|M) occurs in 1 collocations
ESCTG occurs in 1 collocations
2SCO occurs in 2 collocations
OPTCPG occurs in 1 collocations
2GAIIR occurs in 1 collocations
4OD|)C8G occurs in 1 collocations
OGDSG occurs in 1 collocations
TDZG occurs in 105 collocations
OEARGE occurs in 1 collocations
8A(N|M) occurs in 8 collocations
OEDCC(O|A)8G occurs in 1 collocations
4OGDG occurs in 1 collocations
PODAR occurs in 1 collocations
4OHO occurs in 5 collocations
GHTCCDG occurs in 1 collocations
)AK8 occurs in 1 collocations
)8G occurs in 1 collocations
8AIRG8G occurs in 1 collocations
ODCAR occurs in 6 collocations
(2|C occurs in 1 collocations
GSO occurs in 4 collocations
4ODCS8G occurs in 1 collocations
AE2AR occurs in 1 collocations
4ODCOFG occurs in 1 collocations
OPAIEO occurs in 1 collocations
OCCO2 occurs in 2 collocations
EDCAEG occurs in 1 collocations
4OOE occurs in 4 collocations
DA(M|N) occurs in 6 collocations
ORC occurs in 1 collocations
TOEOE occurs in 2 collocations
2OHZ occurs in 1 collocations
OCCT8G occurs in 1 collocations
PTOG occurs in 1 collocations
O(H|D)CAR occurs in 1 collocations
SAD(O|A) occurs in 1 collocations
HAK8G occurs in 1 collocations
HCCAR occurs in 1 collocations
4ODORAR occurs in 2 collocations
OHCC8G occurs in 67 collocations
OC2AE occurs in 1 collocations
OEOK occurs in 2 collocations
GODTAL occurs in 1 collocations
SCCG occurs in 102 collocations
4OHT8 occurs in 3 collocations
SOHZG occurs in 13 collocations
RFK occurs in 1 collocations
8AIRAIR occurs in 1 collocations
TCDTG occurs in 1 collocations
OE( occurs in 1 collocations
TCPZC8G occurs in 1 collocations
2OK occurs in 1 collocations
|)ARARSG occurs in 1 collocations
(8|E)AM occurs in 2 collocations
ETC8AE occurs in 1 collocations
OHTCO2 occurs in 1 collocations
(|O)DO8G occurs in 1 collocations
8AIDCO8G occurs in 1 collocations
8OEDC8G occurs in 1 collocations
ORSCDZG occurs in 1 collocations
OPTORG occurs in 1 collocations
GHO8 occurs in 1 collocations
ODCOEAL occurs in 1 collocations
4ODODTG occurs in 1 collocations
POE occurs in 21 collocations
GT8G occurs in 2 collocations
PTCOCPTG occurs in 1 collocations
DZ8G occurs in 5 collocations
8GTO occurs in 1 collocations
FOESO8G occurs in 1 collocations
SCCO8AR occurs in 1 collocations
GDTOK occurs in 1 collocations
A8AK occurs in 3 collocations
TCAN occurs in 2 collocations
ETCDZG occurs in 3 collocations
PTC(A occurs in 1 collocations
OEDCCG occurs in 37 collocations
2OCCOE occurs in 1 collocations
EDA(M|N occurs in 1 collocations
HTC(AR|OH) occurs in 1 collocations
G8GK occurs in 1 collocations
SCOH occurs in 1 collocations
80 occurs in 1 collocations
THZOR occurs in 1 collocations
G4OE occurs in 1 collocations
HOEO2 occurs in 1 collocations
ODCTO occurs in 1 collocations
TE(| occurs in 1 collocations
SCH2 occurs in 1 collocations
EDC8AR occurs in 1 collocations
4OI2AE occurs in 1 collocations
EEHAM occurs in 1 collocations
OFAIIR occurs in 1 collocations
TCFAR occurs in 1 collocations
TO8AR occurs in 11 collocations
|)HCOP occurs in 1 collocations
TCCOG occurs in 1 collocations
AHOEK occurs in 1 collocations
(O|A)DTCCG occurs in 1 collocations
HA occurs in 2 collocations
2TDZG occurs in 1 collocations
OPOE occurs in 1 collocations
OEPT8G occurs in 1 collocations
4(O|C)DAE occurs in 1 collocations
PSCO8SG occurs in 1 collocations
FOTOR occurs in 1 collocations
ODAIDZAE occurs in 1 collocations
4OETC8G occurs in 5 collocations
2OCC2 occurs in 1 collocations
TAR occurs in 57 collocations
TGPAE8G occurs in 1 collocations
DZOTG occurs in 1 collocations
TOERAEG occurs in 1 collocations
EDCOPOE occurs in 1 collocations
4OM occurs in 4 collocations
DOETC8G occurs in 1 collocations
FAE occurs in 1 collocations
GTCCTG occurs in 1 collocations
2O8AE occurs in 3 collocations
ODGHAM occurs in 1 collocations
2TM occurs in 1 collocations
4ODAM occurs in 235 collocations
OHCCC2 occurs in 1 collocations
TSO occurs in 1 collocations
4ODCC8AR occurs in 6 collocations
DAM8AE occurs in 1 collocations
T8AR occurs in 16 collocations
SCCH occurs in 3 collocations
TOE2 occurs in 3 collocations
EHT8AE occurs in 1 collocations
GHOG occurs in 1 collocations
8ARG occurs in 22 collocations
P2AEAR occurs in 1 collocations
TO8TG occurs in 3 collocations
P8GTOM occurs in 1 collocations
DCTCG occurs in 1 collocations
T8A(M|N) occurs in 1 collocations
GODCCG occurs in 2 collocations
OH8G occurs in 3 collocations
CO2AM occurs in 1 collocations
PSOAN occurs in 1 collocations
G8AE2 occurs in 1 collocations
AESG occurs in 1 collocations
POCCOR occurs in 1 collocations
8ETC2G occurs in 1 collocations
DTCC8T8G occurs in 1 collocations
GHTO2 occurs in 1 collocations
ARAE8G occurs in 2 collocations
TCR occurs in 5 collocations
T occurs in 3 collocations
EDTC8G occurs in 15 collocations
8TOROE occurs in 1 collocations
TCOR occurs in 65 collocations
ROE occurs in 22 collocations
OETCAG occurs in 1 collocations
DE occurs in 2 collocations
EHAM occurs in 2 collocations
TOHTC8G occurs in 1 collocations
OPZC8G occurs in 1 collocations
OPOEG occurs in 1 collocations
TAHG occurs in 1 collocations
P8OE occurs in 1 collocations
AIE occurs in 6 collocations
EOHAR occurs in 1 collocations
PAET8 occurs in 1 collocations
OHAE( occurs in 1 collocations
4OHC2G occurs in 1 collocations
4CHAE occurs in 1 collocations
OHC(A|O) occurs in 1 collocations
8AEOE( occurs in 1 collocations
A0 occurs in 1 collocations
E occurs in 18 collocations
OHCCG occurs in 81 collocations
2GEG occurs in 1 collocations
SDAIR occurs in 2 collocations
TEEDCCG occurs in 1 collocations
000000CO occurs in 1 collocations
OHCC8AE occurs in 2 collocations
00PTG occurs in 1 collocations
AMAE occurs in 3 collocations
DODZOR occurs in 1 collocations
HTC8AM occurs in 1 collocations
4ODTOL occurs in 1 collocations
OFORAK occurs in 1 collocations
2AEDCCG occurs in 1 collocations
OTCCG occurs in 3 collocations
4O8AIDZG occurs in 1 collocations
S8AE8G occurs in 1 collocations
OETCO(2|R) occurs in 1 collocations
|)8OE( occurs in 1 collocations
4OCCC8G occurs in 3 collocations
4OHCCCG occurs in 3 collocations
ETO8G occurs in 3 collocations
8AET8G occurs in 2 collocations
TAG occurs in 1 collocations
OPOE2G occurs in 1 collocations
4ODO occurs in 5 collocations
SCAESA occurs in 1 collocations
4OE8G occurs in 1 collocations
PT8EAR occurs in 1 collocations
TPTCG occurs in 1 collocations
4GDTCG occurs in 1 collocations
2TCOE occurs in 2 collocations
OHCO8AM occurs in 3 collocations
OCCAM occurs in 1 collocations
OANE occurs in 1 collocations
8HSOE occurs in 1 collocations
ESCHG occurs in 2 collocations
CDC8G occurs in 1 collocations
SOEAM occurs in 2 collocations
EOEDAM occurs in 2 collocations
SCCOG occurs in 1 collocations
RA(M|IR) occurs in 1 collocations
ODTOTOR occurs in 1 collocations
4OHT8AR occurs in 1 collocations
GDCOR occurs in 4 collocations
SODCOHZG occurs in 1 collocations
OHSC2 occurs in 1 collocations
TOEDCCCG occurs in 1 collocations
DSO8G occurs in 3 collocations
G2SCOE occurs in 1 collocations
SCCHCG occurs in 1 collocations
POE8TO8G occurs in 1 collocations
OP8AM occurs in 3 collocations
A(M|IG) occurs in 1 collocations
(|O)D(T|C)8AR occurs in 1 collocations
4O(H|D)AE occurs in 1 collocations
CCCOEG occurs in 1 collocations
ESDZG occurs in 1 collocations
DSC8G occurs in 6 collocations
PTOR( occurs in 1 collocations
G|G occurs in 1 collocations
|)DTCH occurs in 1 collocations
4OCCO8G occurs in 3 collocations
PTAR occurs in 4 collocations
4ODOM occurs in 6 collocations
AEDAN occurs in 2 collocations
OHAIK occurs in 1 collocations
TCAKG occurs in 1 collocations
OPTG occurs in 13 collocations
DORARI occurs in 1 collocations
DZ2G occurs in 1 collocations
2TC2G occurs in 1 collocations
2TCCR occurs in 1 collocations
SCCFG occurs in 1 collocations
T8AEG occurs in 3 collocations
SC8G occurs in 224 collocations
GPT8G occurs in 6 collocations
)DCC8G occurs in 1 collocations
4OCC(|C)G occurs in 1 collocations
2AIRG occurs in 4 collocations
DT8PG occurs in 1 collocations
EO8AR occurs in 2 collocations
8CCCC2C occurs in 1 collocations
TDAE( occurs in 1 collocations
TOO occurs in 1 collocations
(|{[repeat}ADCG occurs in 1 collocations
TC(A|O)DZG occurs in 1 collocations
OHCCCOR occurs in 1 collocations
OHOE occurs in 45 collocations
8AIMG occurs in 1 collocations
HCOE2 occurs in 1 collocations
4ODOIIR occurs in 1 collocations
TCDZ8 occurs in 1 collocations
POTCG occurs in 1 collocations
HOPZOE occurs in 1 collocations
DCO2 occurs in 1 collocations
POEGSG occurs in 1 collocations
SO8AK occurs in 1 collocations
4OHCC8AR occurs in 2 collocations
GDCCAEDCG occurs in 1 collocations
GRG occurs in 1 collocations
DCO8AE occurs in 1 collocations
SHZ occurs in 2 collocations
8AE8AEOE occurs in 1 collocations
8A4OHZG occurs in 1 collocations
